rst_0,rst_1,rst_2,rst_3,rst_4
44,28,18,24,4
11,35,16,46,24
5,44,11,19,17
52,48,54,58,55
15,56,3,27,4
42,51,14,40,32
39,43,60,57,34
34,26,9,43,54
12,11,54,33,48
38,10,27,2,21
16,39,13,26,42
7,32,31,51,27
14,17,32,37,39
7,10,38,17,24
53,42,31,43,29
43,39,20,19,24
50,6,47,58,26
54,29,18,42,40
32,44,12,8,48
6,8,37,24,45
54,33,13,55,45
44,49,57,37,21
51,49,46,40,36
49,3,19,35,22
12,56,5,52,45
7,8,10,27,12
52,21,48,58,30
45,16,18,11,36
31,39,59,19,53
17,44,2,5,13
43,8,21,27,3
60,38,29,3,7
7,29,50,16,38
24,44,6,15,18
47,44,53,56,8
15,55,37,34,19
9,22,60,48,12
19,2,30,46,22
33,54,40,5,9
16,24,25,45,59
14,46,40,13,4
3,34,58,22,18
45,47,50,52,15
1,23,13,30,24
48,37,26,22,38
49,7,33,31,36
35,55,2,43,34
6,28,56,2,36
56,29,53,36,38
12,20,13,49,34
52,32,12,54,20
2,5,55,28,27
41,32,19,58,5
13,32,6,51,40
1,41,28,33,39
25,29,36,1,56
2,18,30,56,52
27,45,44,26,38
57,10,33,2,11
50,57,58,28,2
47,32,25,57,6
27,52,41,29,4
33,14,52,36,32
36,6,40,14,8
34,16,46,15,42
2,16,4,44,33
2,6,35,30,52
50,52,14,4,27
44,31,49,54,36
5,9,25,40,38
40,22,13,29,48
59,2,54,32,24
11,6,53,44,16
4,13,51,37,6
41,53,26,23,52
2,20,37,19,1
4,56,54,13,35
2,34,51,36,38
58,33,36,40,25
12,23,25,18,45
60,12,57,58,33
2,43,11,1,3
13,12,51,37,48
26,10,4,37,47
50,59,56,46,3
10,40,27,47,55
57,21,54,48,50
9,14,26,36,52
40,27,55,17,28
11,9,6,34,41
55,53,1,35,56
49,29,17,53,20
30,59,27,36,4
10,1,34,54,6
4,17,23,28,9
4,51,45,22,38
48,15,24,28,1
31,32,43,3,52
56,6,45,60,26
48,44,46,4,18
30,24,12,49,7
50,28,35,24,2
13,49,4,44,14
28,18,41,54,14
58,7,27,45,4
11,46,27,49,6
26,37,8,22,54
57,43,18,59,10
13,37,54,7,29
6,43,22,52,57
36,22,42,3,16
41,2,42,30,12
32,1,6,9,16
49,34,42,18,3
46,24,51,50,56
58,39,18,17,35
27,51,1,46,59
1,8,44,17,46
8,29,31,4,17
35,11,28,46,42
31,57,17,56,28
23,16,17,59,42
59,49,13,18,4
34,60,18,45,4
45,38,52,17,7
28,8,55,41,48
6,23,56,15,5
36,46,48,31,7
18,30,14,11,33
33,5,23,32,8
25,39,44,41,31
40,53,12,46,2
30,46,35,54,26
51,47,28,10,59
32,44,42,48,16
4,13,58,36,19
35,17,15,34,49
53,10,28,16,48
24,41,12,42,44
42,2,11,23,31
29,21,47,57,13
28,12,34,29,1
55,25,9,8,54
18,32,29,13,50
6,56,33,50,51
35,52,27,53,57
10,49,8,58,20
54,47,27,17,3
37,5,24,44,49
7,12,57,11,30
30,7,23,20,15
30,50,45,2,35
6,48,11,45,4
38,44,17,60,4
28,21,9,10,2
44,41,42,54,47
32,53,16,20,12
21,56,36,9,13
2,23,38,15,21
7,18,26,46,39
29,21,20,46,22
30,52,50,49,53
5,52,59,2,33
7,52,11,10,1
46,18,16,45,31
31,42,15,7,17
37,58,12,29,8
30,47,53,38,20
28,26,54,55,23
12,10,51,37,23
43,36,1,20,13
54,44,38,25,46
43,41,37,51,18
11,32,60,5,6
53,38,30,2,15
28,58,19,24,42
42,15,18,31,5
18,46,42,15,56
46,60,55,32,3
46,42,27,45,20
7,16,36,35,38
6,28,33,48,46
1,5,4,45,14
26,30,21,15,13
25,32,11,59,51
6,53,56,30,37
34,25,40,51,60
1,6,14,17,33
31,34,15,14,25
4,17,1,48,13
18,2,9,47,17
27,54,28,50,22
55,47,43,48,49
47,58,8,43,39
8,21,19,30,52
36,29,23,49,32
11,41,51,5,19
40,7,44,55,34
4,23,55,10,38
41,49,36,42,31
4,17,38,9,18
53,43,23,6,7
59,5,42,8,46
5,12,1,7,45
16,52,5,44,10
36,47,42,29,53
35,10,15,58,36
9,46,23,32,35
60,24,56,45,10
8,44,40,35,22
13,53,20,31,60
21,40,51,27,24
42,30,9,19,31
54,1,15,37,46
32,41,51,7,31
6,43,17,5,54
2,26,6,13,53
36,53,35,9,1
24,51,50,28,58
17,51,36,6,42
31,18,4,46,44
49,27,43,17,14
26,20,5,44,33
46,40,58,31,28
23,31,47,54,3
9,51,20,24,52
46,17,5,42,47
57,23,38,13,34
24,22,38,49,10
21,7,5,53,45
33,56,59,43,50
32,2,27,47,58
45,11,22,52,36
3,52,5,43,35
26,57,20,32,45
38,26,60,34,29
47,20,35,4,59
30,43,7,44,1
47,48,44,60,4
18,56,27,6,24
2,11,49,13,36
44,9,33,10,23
30,32,51,8,28
33,19,52,51,35
5,56,24,55,1
38,2,42,58,41
35,51,34,49,16
6,18,46,23,31
51,30,29,33,46
47,3,43,42,60
19,20,16,60,28
10,16,34,13,60
31,37,21,38,8
34,23,41,19,40
38,54,23,12,17
48,18,15,22,20
54,33,24,44,38
23,57,29,17,60
27,44,8,35,38
44,28,24,57,7
45,22,27,21,1
50,33,42,7,58
56,46,7,24,28
6,4,43,54,56
10,54,37,45,14
7,40,19,49,11
20,33,37,49,4
17,38,42,51,34
16,48,43,27,58
57,10,25,14,33
20,27,49,40,55
48,8,21,36,23
20,11,16,1,56
51,27,1,23,45
51,24,56,7,12
47,40,55,57,52
29,28,31,48,45
1,33,30,17,47
21,31,56,55,45
20,10,1,5,42
35,10,47,5,24
42,59,30,58,50
36,3,35,56,18
2,1,37,51,48
52,33,15,28,51
35,52,17,19,9
28,2,1,46,27
37,46,47,51,23
1,33,8,11,6
13,39,51,37,35
48,4,12,34,32
9,12,31,50,18
39,46,18,51,31
44,37,9,55,14
15,58,24,37,46
18,23,42,56,32
41,2,53,5,13
24,45,53,35,26
39,45,58,10,1
44,56,13,14,27
19,18,38,5,21
34,29,20,37,57
36,43,38,24,58
12,1,31,37,17
8,30,23,51,53
24,44,28,13,45
1,10,30,33,38
58,41,48,50,15
9,3,18,40,32
39,52,17,35,19
49,3,35,39,23
11,7,59,51,32
50,37,51,27,29
12,31,34,48,36
36,27,20,7,16
38,50,29,45,17
30,7,47,35,19
59,56,7,28,21
38,22,50,45,26
50,19,59,2,29
3,29,10,16,23
51,2,24,52,36
20,16,35,40,60
25,36,2,53,42
9,58,16,44,2
30,53,4,31,47
44,22,31,54,34
49,39,18,31,57
12,33,4,38,36
41,39,9,49,23
27,60,30,14,46
27,39,37,58,60
26,31,30,18,16
42,54,57,3,49
4,6,41,40,19
28,39,8,59,42
53,14,44,7,23
1,24,10,17,42
59,49,43,5,27
25,60,34,53,45
5,9,41,14,3
52,29,17,41,12
46,16,33,45,34
13,32,12,41,24
59,5,51,42,50
53,46,28,48,37
34,17,9,46,10
38,15,47,25,10
49,18,20,32,15
23,27,21,19,52
34,31,29,4,10
12,9,56,29,14
13,47,60,18,52
37,40,6,58,41
53,34,59,33,48
2,53,13,49,10
33,13,14,3,43
17,41,48,15,20
42,22,51,23,57
36,53,55,37,60
54,8,45,29,35
20,31,40,30,27
48,5,30,18,8
28,13,6,14,45
43,13,28,56,37
6,23,16,11,42
2,14,21,60,22
25,10,24,47,48
53,36,10,9,50
45,59,42,55,32
21,9,15,36,12
6,7,41,39,29
1,28,56,37,6
60,23,22,46,53
44,26,39,35,16
35,11,7,50,34
32,44,54,60,47
34,30,41,11,27
38,2,27,28,32
27,39,19,41,12
45,41,39,30,15
1,52,30,60,20
31,2,51,42,18
39,11,48,14,19
55,4,44,38,19
4,38,48,10,45
25,56,30,12,39
20,6,33,22,31
22,8,52,1,53
34,57,47,18,6
38,16,21,4,18
30,15,54,55,26
27,5,42,54,41
34,8,2,21,25
1,29,13,25,5
42,45,56,13,3
57,59,6,25,43
28,13,11,26,50
55,12,50,18,53
47,41,18,17,2
56,13,22,54,14
1,5,37,60,34
55,50,42,58,47
54,22,48,34,23
2,57,35,13,54
9,28,45,2,23
53,1,3,4,51
31,56,16,6,11
19,45,43,6,54
6,14,2,17,44
4,29,8,49,38
20,50,48,59,28
17,49,27,22,57
11,42,55,58,35
43,15,22,1,16
20,25,45,2,41
23,12,54,46,9
56,10,43,50,1
32,37,5,35,17
45,34,23,20,37
51,9,13,15,19
53,51,27,11,46
60,8,25,39,41
12,10,46,28,22
47,1,26,55,39
10,53,15,2,6
37,26,18,30,33
27,19,23,3,45
53,31,19,52,36
22,53,26,1,43
54,34,59,21,9
19,30,60,12,6
21,54,10,50,51
43,48,32,19,17
43,33,53,26,54
40,32,11,6,59
53,32,30,7,24
29,3,54,7,37
55,15,48,32,28
34,47,57,56,14
2,42,3,27,16
2,22,51,24,48
50,36,8,28,47
59,18,45,60,8
41,48,57,50,44
59,24,30,8,57
28,32,22,56,58
33,41,48,15,17
6,51,13,38,49
18,43,22,24,16
28,26,33,41,8
4,3,37,39,48
9,3,29,13,30
49,26,30,34,24
45,1,57,49,50
58,41,50,40,9
35,27,3,11,44
24,32,23,40,41
35,22,8,37,21
29,13,49,50,45
2,41,39,1,34
59,30,43,31,34
6,38,24,39,15
14,9,2,32,22
53,35,52,25,23
55,30,28,59,33
13,26,1,21,14
10,40,30,44,36
45,9,60,2,35
8,49,35,42,56
23,45,16,58,59
5,4,37,40,60
42,5,32,37,1
14,36,60,38,17
3,43,21,17,22
25,5,31,1,28
11,26,24,52,40
30,40,33,18,20
17,58,33,52,11
39,11,56,46,13
25,5,53,28,41
43,28,10,37,47
53,45,47,1,52
7,18,51,41,44
35,13,32,16,24
56,26,40,16,57
20,58,10,59,57
19,51,56,16,5
30,10,53,44,3
41,35,37,10,19
28,59,16,47,27
38,1,32,4,23
59,7,18,23,32
7,40,54,15,3
23,56,41,46,34
48,1,18,45,17
30,25,23,44,28
5,24,51,22,11
47,1,3,19,23
50,22,6,37,30
17,58,45,19,28
31,35,57,54,21
3,5,2,34,10
25,6,14,21,3
52,9,58,47,22
53,12,58,55,34
48,35,44,23,36
46,11,8,43,28
30,53,26,11,37
25,18,2,21,9
9,43,10,15,45
21,18,56,15,51
43,54,29,57,35
27,40,33,6,39
3,48,44,35,25
10,27,57,13,23
47,43,45,40,57
9,6,39,15,22
32,16,33,23,18
42,10,33,36,13
14,56,52,17,4
39,33,29,16,44
57,21,2,33,20
3,50,18,23,9
4,36,25,21,46
22,17,50,38,20
60,28,54,37,45
39,45,31,25,43
19,10,16,15,28
20,41,22,36,43
46,34,59,45,9
16,52,53,58,30
47,43,38,1,17
46,3,2,30,14
11,5,30,31,13
28,51,59,26,53
10,52,23,36,3
17,56,37,52,18
34,8,2,15,9
55,21,16,44,29
15,19,35,59,14
56,39,35,8,23
24,17,10,1,3
51,40,52,24,12
10,29,24,43,6
10,54,42,16,40
39,29,24,52,7
36,16,9,47,13
38,1,9,48,49
48,20,43,18,6
43,11,39,9,30
8,57,47,39,9
8,54,21,10,45
6,39,4,44,52
52,59,55,40,8
28,33,20,24,57
30,1,14,56,22
32,21,10,48,34
55,14,16,21,33
9,21,53,36,52
45,29,42,9,43
40,9,49,25,35
15,41,45,33,36
20,40,28,5,8
23,47,29,2,14
55,34,22,20,24
56,43,21,8,27
43,39,18,25,37
50,30,25,17,32
39,5,6,53,15
34,60,5,4,7
32,27,48,36,2
28,26,55,38,48
19,10,32,60,13
32,39,13,54,30
35,48,44,39,36
30,59,20,32,8
10,18,24,5,39
54,10,52,41,44
20,9,59,54,16
17,16,60,12,52
19,57,38,54,4
8,24,47,26,11
52,14,19,12,59
28,3,32,34,37
6,2,57,22,55
38,23,45,32,29
18,16,12,34,37
15,6,39,19,37
46,24,20,4,50
14,22,6,5,10
43,32,21,50,35
9,36,29,28,34
55,23,44,43,36
10,58,14,45,31
5,39,10,54,46
40,58,30,32,15
37,26,11,24,59
19,34,44,36,20
21,11,13,53,54
50,57,48,17,6
44,5,32,2,12
14,37,39,26,35
56,21,20,7,40
14,7,35,1,31
57,21,24,52,25
42,38,49,15,50
6,37,34,10,3
22,20,52,60,42
59,46,28,38,4
40,50,43,28,51
45,35,1,23,5
22,19,33,11,53
20,9,1,14,54
41,14,54,4,39
27,22,58,33,59
1,48,50,44,37
18,56,8,34,39
28,35,58,54,2
11,51,36,8,35
6,36,53,30,56
46,32,16,56,40
18,58,32,39,27
11,17,48,18,4
56,10,11,2,38
55,11,27,22,25
41,46,54,59,23
2,46,57,60,48
32,37,40,60,7
28,60,52,45,4
23,56,8,7,1
29,16,20,35,47
52,56,4,24,46
51,33,23,52,31
11,15,39,37,29
7,42,58,36,24
15,37,18,33,40
38,4,58,40,27
23,39,18,55,50
19,39,20,53,14
40,10,18,33,38
7,56,22,13,6
52,35,49,30,38
23,58,8,19,27
60,30,14,45,23
26,35,40,25,6
28,22,6,31,44
56,58,54,6,41
10,12,54,42,22
33,32,22,29,35
53,58,21,38,57
14,7,60,54,47
27,46,15,25,50
27,11,6,28,46
18,19,44,54,1
10,39,38,35,26
19,10,27,31,51
33,50,38,32,8
37,5,44,1,53
57,50,56,51,58
12,27,40,37,22
39,4,7,12,26
53,43,46,25,35
29,47,22,36,34
37,38,20,13,10
19,4,23,29,59
5,4,36,56,40
11,39,41,9,25
33,45,44,40,36
8,15,34,25,10
10,19,29,24,6
55,53,14,10,36
4,11,43,20,30
27,55,35,6,25
59,2,11,32,26
5,47,40,9,42
40,3,48,17,34
5,26,42,27,48
35,46,34,60,24
22,13,10,20,12
55,12,15,30,52
42,8,18,37,58
59,23,33,57,9
6,15,43,5,12
37,13,16,26,39
30,36,2,11,39
55,37,58,14,2
58,55,46,22,40
40,42,13,18,35
25,33,42,49,6
56,33,1,19,18
20,37,26,7,39
25,49,12,21,38
4,53,35,43,47
19,18,53,34,2
24,3,27,38,14
38,48,5,49,10
11,8,18,40,37
12,11,10,59,38
13,17,27,11,15
54,34,52,8,14
4,33,16,44,19
49,29,56,43,35
11,51,6,24,13
51,28,24,49,9
2,38,27,60,18
30,15,5,58,20
1,35,13,11,10
58,56,18,8,2
6,4,17,57,34
13,40,50,46,3
12,45,10,56,2
16,46,13,11,24
27,3,39,40,36
50,44,60,38,56
44,59,29,19,41
4,16,44,49,12
25,33,10,12,18
54,41,1,46,58
17,46,43,53,52
11,21,46,14,25
35,17,30,25,42
19,40,35,44,27
21,19,1,9,34
28,43,4,29,52
41,11,12,46,20
42,49,26,31,19
38,41,20,24,25
37,8,17,29,10
27,21,3,11,15
47,59,14,56,50
31,20,47,43,2
44,1,31,53,46
58,39,27,7,24
7,46,28,30,44
24,55,46,16,11
60,46,12,6,32
13,53,16,36,55
28,18,20,6,2
5,60,18,39,35
26,20,19,51,52
54,6,46,21,59
23,48,59,28,40
35,22,11,1,30
2,1,49,11,12
30,34,4,21,13
58,29,23,41,14
20,54,36,17,42
10,19,11,37,41
44,50,52,57,7
12,58,35,51,2
21,33,55,16,7
6,59,28,8,51
39,42,16,18,44
49,42,17,19,37
59,33,8,58,32
21,48,46,23,44
38,24,23,26,42
36,38,2,29,14
49,36,29,26,59
13,28,31,8,33
53,41,47,50,7
37,44,2,27,6
49,39,23,6,26
34,48,31,39,33
9,27,46,59,35
53,35,38,14,45
53,49,1,46,47
24,10,8,44,9
11,30,42,34,16
45,20,24,36,18
48,17,58,47,16
56,49,54,43,5
44,3,34,56,19
37,45,38,43,54
37,25,29,4,1
45,7,34,59,51
36,21,51,10,24
19,12,13,36,55
9,57,43,37,28
9,48,44,42,2
36,10,34,15,60
55,53,7,32,43
23,8,25,43,39
14,9,48,11,31
16,21,42,2,50
24,2,35,54,50
16,12,10,21,28
8,1,19,48,36
59,47,46,19,39
51,13,43,30,34
51,15,52,36,59
19,42,18,47,22
27,19,12,41,18
16,21,50,10,46
60,51,21,28,2
33,29,11,4,16
53,35,25,9,5
33,46,26,4,53
57,53,7,59,16
8,7,42,27,29
16,8,20,21,34
24,32,38,53,46
56,28,27,1,41
29,11,3,35,44
56,11,34,44,36
38,23,30,44,35
28,55,36,43,11
13,49,3,41,53
43,60,37,38,29
34,46,57,50,17
32,56,29,28,1
21,42,12,57,37
42,38,45,6,27
43,11,6,55,53
30,45,16,49,25
32,22,47,28,33
11,33,34,25,24
27,44,36,54,41
51,58,53,52,26
7,5,10,60,32
18,30,4,10,34
21,23,43,1,19
24,42,48,10,43
16,32,36,30,14
16,6,38,22,52
57,59,45,8,28
38,58,35,3,40
23,34,45,57,5
14,48,30,29,59
49,26,2,56,40
23,50,58,32,52
1,37,47,44,46
2,7,38,30,4
9,6,27,32,12
19,45,39,9,23
6,41,40,29,58
39,17,56,60,26
4,13,53,40,25
31,34,38,47,7
45,35,6,41,4
47,29,42,4,27
14,55,35,30,18
7,53,43,20,45
60,27,28,20,53
57,36,11,58,55
27,39,7,31,46
25,9,7,10,58
56,18,26,13,1
24,42,18,5,25
14,38,28,18,35
11,5,42,3,34
33,11,14,34,15
9,33,46,24,27
42,53,47,1,44
20,9,42,29,30
4,49,9,31,47
39,52,27,57,58
58,22,26,15,54
46,50,1,17,37
32,39,55,33,52
47,4,24,44,56
20,15,57,49,39
9,37,30,10,54
18,30,21,31,34
26,7,1,23,14
54,56,58,20,27
37,12,14,34,35
23,26,51,27,29
7,30,46,23,8
43,49,57,33,9
29,19,8,2,37
50,20,46,23,14
23,37,59,10,58
48,49,53,20,32
4,30,52,23,13
55,14,23,29,11
41,16,48,14,38
6,10,41,52,27
5,41,11,49,24
58,15,20,16,38
8,55,40,11,33
25,50,2,53,4
49,27,5,18,57
23,10,53,60,22
34,17,37,43,8
28,12,20,5,27
50,28,58,29,59
35,40,14,55,50
30,52,12,27,36
24,4,37,43,59
46,36,12,10,4
12,10,33,7,42
42,43,41,9,21
29,4,2,41,6
35,39,2,26,56
6,34,37,38,45
60,36,5,57,44
37,31,26,12,36
18,57,6,33,42
1,48,42,10,2
9,43,20,41,33
28,6,41,26,35
29,6,36,59,21
20,22,41,59,35
13,21,49,41,17
3,40,19,60,2
37,39,21,9,54
18,36,47,52,35
44,43,25,18,27
17,50,48,20,3
12,54,57,21,29
